বাস,যাত্রা শুরু,Schedule,কাউন্টার,সুপারভাইজার,Call,Start,End
সাদিকা ১,মহাখালী,সকাল ৬:৩০,,01712119181,সকাল,Dhaka,Sherpur
মনিমুক্তা ২,মহাখালী,সকাল ৭:১৫,,01737911411,সকাল,Dhaka,Sherpur
সুপ্রীম নাইটকোচ,মহাখালী,সকাল ৮:০০,,01775413541,সকাল,Dhaka,Sherpur
শেরপুর রেড লাইন,গুলিস্তান,সকাল ৮:০০,,01711671686,সকাল,Dhaka,Sherpur
প্রাইম ,নাবিস্কো,সকাল ৮:৩০,,01929553822,সকাল,Dhaka,Sherpur
মনিমুক্তা-১,মহাখালী,সকাল ১০:০০,,01916595151,সকাল,Dhaka,Sherpur
শেরপুর জেলা বাস মিনিবাস মালিক সমিতি,গুলিস্তান,সকাল ১০:১০,,01741718683,সকাল,Dhaka,Sherpur
এফ জেড লাইন,মহাখালী,সকাল ১১:৩০,,01730413171,সকাল,Dhaka,Sherpur
শেরপুর ওমেন চেম্বার,গুলিস্তান,দুপুর ১২:০০,,01300823515,দুপুর,Dhaka,Sherpur
মুনরাজ ২,মহাখালী,দুপুর ১২:২০,,01755418142,দুপুর,Dhaka,Sherpur
শেরপুর টেনিস ক্লাব,গুলিস্তান,দুপুর ১:০৫,,01770774774,দুপুর,Dhaka,Sherpur
এসি সুপার ডিলাক্স,মহাখালী,দুপুর ১:১০,,01735621796,দুপুর,Dhaka,Sherpur
এস এ ২,মহাখালী,দুপুর ১:৩৫,,01724191118,দুপুর,Dhaka,Sherpur
এসি ডিলাক্স,মহাখালী,দুপুর ২:০০,,01734190665,দুপুর,Dhaka,Sherpur
চেম্বার ২,গুলিস্তান,দুপুর ২:০০,,01778558890,দুপুর,Dhaka,Sherpur
চেম্বার ১,গুলিস্তান,বিকাল ৩:১৫,,01715814725,বিকাল,Dhaka,Sherpur
ক্রীড়া সংস্থা এসি,গুলিস্তান,বিকাল ৩:৩০,,01313970129,বিকাল,Dhaka,Sherpur
কালেক্টর,গুলিস্তান,বিকালে ৪:০০,,01729142831,বিকাল,Dhaka,Sherpur
সিমিন,গুলিস্তান,বিকাল ৪:০০,,01896190707,বিকাল,Dhaka,Sherpur
শেরপুর জেলা বাস মিনিবাস মালিক সমিতি,গুলিস্তান,বিকাল ৪:১০,,01741729042,বিকাল,Dhaka,Sherpur
সাদিকা ২,মহাখালী,রাত ১১:৩০,,01736990161,রাত,Dhaka,Sherpur
মনিমুক্তা,সম্পদ প্লাজা,ভোর ৪:৪০,01725371819,01916595151,ভোর,Sherpur,Dhaka
চেম্বার ১,নিউ মার্কেট,ভোর ৫:০০,01716486467,01715814725,ভোর,Sherpur,Dhaka
শেরপুর জেলা বাস মিনিবাস মালিক সমিতি,নিউ মার্কেট,ভোর ৫:২০,01327965526,01741729042,ভোর,Sherpur,Dhaka
কালেক্টর,নিউ মার্কেট,ভোর ৫:৩০,01755418143,01729142831,ভোর,Sherpur,Dhaka
ক্রীড়া সংস্থা এসি,থানা মোড়,ভোর ৫:৪০,01313970128,01313970129,ভোর,Sherpur,Dhaka
এস এ ২,থানা মোড়,সকাল ৬:০৫,01724454357,01724191118,সকাল,Sherpur,Dhaka
এসি ডিলাক্স,নিউ মার্কেট,সকাল ৬:৩০,01729592294,01734190665,সকাল,Sherpur,Dhaka
সপ্তরূপা,নিউ মার্কেট,সকাল ৭:০০,01981181574,01981181574,সকাল,Sherpur,Dhaka
সাদিকা ১,নবীনগর,দুপুর ১:৩৫,,01712119181,দুপুর,Sherpur,Dhaka
সাদিকা ২,সোনার বাংলা স্ট্যান্ড,দুপুর ১:৩৫,,01736990161,দুপুর,Sherpur,Dhaka
শেরপুর রেড লাইন,টেনিস ক্লাব কাউন্টার,রাত ১২:০০,01761797977,01711671686,রাত,Sherpur,Dhaka
সুপ্রীম নাইটকোচ, নিউ মার্কেট,রাত ১২:০০,01716486467,01775413541,রাত,Sherpur,Dhaka
